date,temperature,humidite,precipitation,rayonnement_solaire,vitesse_vent,direction_vent
2020-01-01 00:00:00,6.97,83.49,0.0,0.0,3.0,262.3
2020-01-01 01:00:00,5.61,86.95,0.0,0.0,8.4,268.4
2020-01-01 02:00:00,5.41,95.0,0.0,0.0,7.4,133.8
2020-01-01 03:00:00,1.93,95.0,0.0,0.0,5.7,171.6
2020-01-01 04:00:00,3.94,93.83,0.0,0.0,6.3,119.0
2020-01-01 05:00:00,1.45,95.0,0.0,0.0,3.1,75.6
2020-01-01 06:00:00,0.9,95.0,0.0,-0.0,4.9,320.0
2020-01-01 07:00:00,1.03,91.26,0.0,-50.9,2.9,68.7
2020-01-01 08:00:00,1.63,95.0,0.0,-98.34,13.9,83.9
2020-01-01 09:00:00,1.18,95.0,0.0,-139.07,0.7,245.3
2020-01-01 10:00:00,1.16,95.0,0.0,-170.32,11.2,193.7
2020-01-01 11:00:00,1.85,92.29,0.0,-189.97,7.3,69.8
2020-01-01 12:00:00,3.31,91.46,0.0,-196.67,4.2,49.9
2020-01-01 13:00:00,2.26,95.0,0.0,-189.97,9.0,54.9
2020-01-01 14:00:00,5.46,83.11,0.0,-170.32,6.8,12.4
2020-01-01 15:00:00,6.73,82.97,0.0,-139.07,9.2,185.5
2020-01-01 16:00:00,9.37,79.23,0.0,-98.34,10.7,330.6
2020-01-01 17:00:00,6.77,84.12,0.0,-50.9,9.3,315.1
2020-01-01 18:00:00,10.22,72.79,0.0,-0.0,0.9,221.7
2020-01-01 19:00:00,10.11,82.38,0.0,0.0,1.8,324.4
2020-01-01 20:00:00,10.36,80.63,0.0,0.0,4.0,348.1
2020-01-01 21:00:00,12.12,78.35,0.0,0.0,5.3,60.7
2020-01-01 22:00:00,10.46,83.61,0.0,0.0,6.7,214.8
2020-01-01 23:00:00,8.95,84.2,0.0,0.0,5.4,244.4
2020-01-02 00:00:00,8.83,82.63,0.0,0.0,3.9,25.9
2020-01-02 01:00:00,7.93,82.5,0.0,0.0,6.0,201.8
2020-01-02 02:00:00,4.6,91.18,0.0,0.0,5.6,172.7
2020-01-02 03:00:00,3.76,95.0,0.0,0.0,5.8,49.3
2020-01-02 04:00:00,2.15,90.37,0.0,0.0,3.7,253.2
2020-01-02 05:00:00,0.64,88.18,0.0,0.0,5.2,9.2
2020-01-02 06:00:00,1.63,91.47,0.0,-0.0,6.7,23.8
2020-01-02 07:00:00,-0.48,95.0,0.0,-55.26,6.7,259.4
2020-01-02 08:00:00,0.29,95.0,0.0,-106.76,0.7,1.2
2020-01-02 09:00:00,0.36,89.57,0.0,-150.98,4.8,253.2
2020-01-02 10:00:00,0.4,95.0,0.0,-184.91,2.5,251.5
2020-01-02 11:00:00,2.91,92.68,0.0,-206.25,1.2,203.9
2020-01-02 12:00:00,3.07,90.02,0.0,-213.52,4.3,175.8
2020-01-02 13:00:00,2.37,95.0,0.0,-206.25,7.2,99.0
2020-01-02 14:00:00,4.3,90.35,0.0,-184.91,1.0,196.7
2020-01-02 15:00:00,8.53,82.33,0.0,-150.98,3.6,30.2
2020-01-02 16:00:00,7.05,84.28,0.0,-106.76,6.0,199.9
2020-01-02 17:00:00,10.22,72.77,0.0,-55.26,5.9,202.4
2020-01-02 18:00:00,8.93,84.5,0.0,-0.0,8.4,263.7
2020-01-02 19:00:00,10.65,85.16,0.0,0.0,1.1,284.1
2020-01-02 20:00:00,12.2,71.32,0.0,0.0,7.4,262.6
2020-01-02 21:00:00,9.03,79.8,0.0,0.0,1.0,96.8
2020-01-02 22:00:00,8.81,86.34,0.0,0.0,6.2,199.3
